City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
70,Port Elizabeth,ZA,-33.918,25.5701,67.1,73,96,13.47,overcast clouds
71,Laguna,US,38.421,-121.4238,64.44,49,0,1.01,clear sky
72,Turhal,TR,40.3875,36.0811,33.78,79,100,4.05,overcast clouds
73,Bethel,US,41.3712,-73.414,43.16,96,100,0.0,light rain
74,Kununurra,AU,-15.7667,128.7333,80.58,94,75,0.0,broken clouds
75,Taoudenni,ML,22.6783,-3.9836,66.58,18,83,11.5,broken clouds
76,Barrow,US,71.2906,-156.7887,-23.78,76,0,3.44,haze
77,Skibbereen,IE,51.55,-9.2667,46.2,88,100,13.35,overcast clouds
78,Mezen,RU,65.8522,44.24,-2.58,100,89,2.42,overcast clouds
79,Tasiilaq,GL,65.6145,-37.6368,12.36,60,100,7.34,overcast clouds
80,Tessalit,ML,20.1986,1.0114,62.92,12,68,13.0,broken clouds
81,Castro,BR,-24.7911,-50.0119,68.22,93,78,4.63,broken clouds
82,Husavik,IS,66.0449,-17.3389,24.37,81,100,20.65,overcast clouds
83,Mataura,NZ,-46.1927,168.8643,53.47,99,100,1.14,light rain
84,Bambous Virieux,MU,-20.3428,57.7575,80.22,91,100,25.5,light rain
85,Umm Lajj,SA,25.0213,37.2685,68.74,53,0,2.17,clear sky
86,Hithadhoo,MV,-0.6,73.0833,81.19,72,89,9.91,overcast clouds
87,Iqaluit,CA,63.7506,-68.5145,-19.3,89,100,2.39,overcast clouds
88,Cururupu,BR,-1.8283,-44.8683,76.39,91,92,3.71,overcast clouds
89,Kisangani,CD,0.5167,25.2,72.7,81,99,3.02,overcast clouds
90,Hopelchen,MX,19.7667,-89.85,94.28,29,0,7.34,clear sky
91,Meulaboh,ID,4.1363,96.1285,75.09,86,95,3.87,overcast clouds
92,Lebu,CL,-37.6167,-73.65,62.69,84,99,14.79,overcast clouds
93,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,12.66,light snow
