City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Viedma,AR,82.22,clear sky,-40.8135,-62.9967,Hotel Cristal
162,Bambanglipuro,ID,61.61,light rain,-7.95,110.2833,Puri Brata
163,Mawlaik,MM,53.55,clear sky,23.6333,94.4167,AKZ Guest House
164,Manono,CD,69.28,moderate rain,-7.3,27.4167,Hotel hewa bora
165,Sabha,LY,50.36,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
166,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
167,Necochea,AR,72.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
168,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
169,Kutum,SD,61.75,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
170,Hobyo,SO,76.24,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
171,San Quintin,MX,60.96,clear sky,30.4833,-115.95,Don Eddie's Landing
172,New Norfolk,AU,59.76,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
173,Xuddur,SO,76.28,overcast clouds,4.1213,43.8894,Banjanay Hotel
174,Esperance,AU,62.55,clear sky,-33.8667,121.9,Hospitality Esperance
175,Gubin,PL,43.14,overcast clouds,51.9496,14.7284,Hotel Onyx
176,Mount Gambier,AU,59.85,broken clouds,-37.8333,140.7667,The Commodore
177,Nicoya,CR,89.15,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
180,Lazaro Cardenas,MX,80.51,clear sky,17.9583,-102.2,quinta antigua
182,Wollongong,AU,67.8,moderate rain,-34.4333,150.8833,Flinders Motel
183,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
184,Tabas,IR,49.1,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
185,North Myrtle Beach,US,69.22,mist,33.816,-78.68,Avista Resort
187,Sao Filipe,CV,73.87,clear sky,14.8961,-24.4956,Hotel Xaguate
188,San Juan De Colon,VE,80.19,overcast clouds,8.0313,-72.2605,Hotel San Francisco de Padua C.A
191,Kralendijk,BQ,80.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
193,Tura,IN,59.97,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
199,Mumford,GH,80.2,clear sky,5.2618,-0.759,Spanish Villa
200,Bengkulu,ID,76.12,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
201,Kudahuvadhoo,MV,80.92,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
204,Nobres,BR,79.36,broken clouds,-14.7203,-56.3275,Hotel Portal Nobres
206,Sattahip,TH,77.18,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
207,Chake Chake,TZ,79.2,overcast clouds,-5.2459,39.7666,Hotel Archipelago
208,Arlit,NE,58.62,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
209,Merauke,ID,80.55,overcast clouds,-8.4667,140.3333,
211,Loralai,PK,40.59,clear sky,30.3705,68.598,Saddam Hotel & Resturant
212,Mount Isa,AU,73.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
