City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Dhidhdhoo,MV,2022-02-02 03:01:42,6.8833,73.1,81.48,74,3,12.19
145,Rorvik,NO,2022-02-02 03:01:43,64.8621,11.2373,22.64,66,95,17.81
146,Itarema,BR,2022-02-02 03:01:43,-2.9248,-39.9167,76.93,86,89,9.62
147,Nanortalik,GL,2022-02-02 03:01:43,60.1432,-45.2371,7.34,67,41,15.77
148,Praia Da Vitoria,PT,2022-02-02 03:01:44,38.7333,-27.0667,57.76,86,43,12.82
149,Magdalena,PH,2022-02-02 03:01:44,14.1999,121.429,83.19,71,98,12.21
150,Matara,LK,2022-02-02 03:01:44,5.9485,80.5353,77.0,68,19,10.67
151,Kununurra,AU,2022-02-02 02:57:15,-15.7667,128.7333,87.78,62,100,17.27
152,Khandyga,RU,2022-02-02 03:01:45,62.6667,135.6,-22.02,93,100,1.52
153,Huarmey,PE,2022-02-02 03:01:45,-10.0681,-78.1522,71.53,79,84,8.77
154,Hobyo,SO,2022-02-02 03:01:45,5.3505,48.5268,77.31,78,100,17.9
155,Limbuhan,PH,2022-02-02 03:01:46,11.8838,124.0501,80.49,78,91,11.21
156,Muriwai Beach,NZ,2022-02-02 03:01:46,-36.8167,174.45,77.77,65,100,14.09
157,Makakilo City,US,2022-02-02 02:59:08,21.3469,-158.0858,78.57,60,8,16.31
158,Torbay,CA,2022-02-02 03:01:46,47.6666,-52.7314,18.57,71,34,3.0
159,Lewisporte,CA,2022-02-02 03:01:47,49.2499,-55.0482,10.13,78,52,6.87
160,Canto Do Buriti,BR,2022-02-02 03:01:47,-8.11,-42.9444,76.44,57,54,2.15
161,Necochea,AR,2022-02-02 02:59:08,-38.5473,-58.7368,60.04,76,67,6.11
162,Ancud,CL,2022-02-02 03:01:47,-41.8697,-73.8203,59.23,93,100,3.67
163,Znamenskoye,RU,2022-02-02 03:01:48,57.1281,73.8282,1.56,99,96,4.47
164,Cervo,ES,2022-02-02 03:01:48,43.6702,-7.4101,46.44,87,3,7.2
165,Byron Bay,AU,2022-02-02 03:01:49,-28.65,153.6167,86.7,75,100,3.22
166,Kaitangata,NZ,2022-02-02 03:01:49,-46.2817,169.8464,80.2,51,94,8.52
167,Avera,US,2022-02-02 02:58:00,33.194,-82.5271,51.31,64,21,9.62
168,Trapani,IT,2022-02-02 03:01:12,37.8333,12.6667,51.98,67,6,13.09
169,Halifax,CA,2022-02-02 02:59:50,44.6453,-63.5724,19.22,77,24,8.05
170,Smithers,CA,2022-02-02 03:00:10,54.7804,-127.1743,13.8,96,100,1.48
171,Port Hedland,AU,2022-02-02 03:01:50,-20.3167,118.5667,87.85,70,100,8.05
172,Ust-Nera,RU,2022-02-02 03:01:50,64.5667,143.2,0.01,97,100,3.33
173,Aksarka,RU,2022-02-02 03:01:50,66.5606,67.7975,-19.35,100,89,6.67
174,Novo Aripuana,BR,2022-02-02 03:01:51,-5.1206,-60.3797,73.49,98,100,2.35
175,Vanimo,PG,2022-02-02 03:01:51,-2.6741,141.3028,82.0,78,82,4.41
176,Bengkulu,ID,2022-02-02 03:01:51,-3.8004,102.2655,75.76,77,100,5.64
177,Morant Bay,JM,2022-02-02 03:01:52,17.8815,-76.4093,70.66,84,10,9.31
178,Sitka,US,2022-02-02 03:01:52,57.0531,-135.33,30.09,80,100,19.57
179,Coihueco,CL,2022-02-02 03:01:53,-36.6167,-71.8333,58.84,59,0,1.88
180,Celestun,MX,2022-02-02 03:01:53,20.8667,-90.4,76.08,70,27,12.35
181,Cherskiy,RU,2022-02-02 03:01:53,68.75,161.3,9.99,68,100,4.12
182,Northam,GB,2022-02-02 03:01:54,51.0333,-4.2167,49.6,90,100,16.04
183,Meridian,US,2022-02-02 03:02:05,43.6121,-116.3915,32.16,73,100,0.0
184,Tuktoyaktuk,CA,2022-02-02 03:02:54,69.4541,-133.0374,-26.34,100,100,4.79
185,Sao Felix Do Xingu,BR,2022-02-02 03:02:55,-6.6447,-51.995,70.99,98,99,1.32
186,Oga,IT,2022-02-02 03:02:55,46.4631,10.347,32.68,92,100,7.16
187,Khatanga,RU,2022-02-02 03:02:55,71.9667,102.5,-38.04,99,28,2.3
188,Upata,VE,2022-02-02 03:02:56,8.0086,-62.3989,73.18,84,8,6.2
189,Plettenberg Bay,ZA,2022-02-02 03:02:56,-34.0527,23.3716,73.26,85,100,1.68
190,Qaanaaq,GL,2022-02-02 03:02:56,77.484,-69.3632,-19.61,65,100,11.41
191,Tenali,IN,2022-02-02 03:02:57,16.2425,80.6398,71.69,73,82,2.3
192,Langarud,IR,2022-02-02 03:02:57,37.197,50.1535,47.59,55,1,3.87
193,Kahului,US,2022-02-02 03:02:58,20.8947,-156.47,80.62,63,20,17.27
194,Port Elizabeth,ZA,2022-02-02 03:02:58,-33.918,25.5701,73.09,75,100,3.98
195,Vallenar,CL,2022-02-02 03:00:26,-28.5708,-70.7581,66.31,64,0,3.58
196,Cayenne,GF,2022-02-02 03:02:58,4.9333,-52.3333,75.09,91,100,0.0
197,Gweta,BW,2022-02-02 03:02:59,-20.1833,25.2333,69.19,86,1,7.38
198,Geraldton,AU,2022-02-02 03:02:59,-28.7667,114.6,100.81,17,0,28.77
199,Cumberland,US,2022-02-02 03:01:24,35.0502,-78.8664,41.86,72,0,5.75
200,Hasaki,JP,2022-02-02 03:03:00,35.7333,140.8333,50.29,32,0,24.32
201,Souillac,MU,2022-02-02 03:03:00,-20.5167,57.5167,81.36,92,100,29.48
202,Harindanga,IN,2022-02-02 03:03:00,22.0383,88.3214,66.18,56,3,5.32
203,Georgetown,MY,2022-02-02 03:00:10,5.4112,100.3354,86.9,70,20,4.61
204,Estacion Coahuila,MX,2022-02-02 03:03:01,32.1939,-115.0017,64.94,21,93,7.99
205,Steinau,DE,2022-02-02 03:03:01,53.6833,8.8833,43.05,75,75,24.16
206,Coracao De Jesus,BR,2022-02-02 03:03:02,-16.6853,-44.365,68.79,86,100,3.06
207,Anamur,TR,2022-02-02 03:03:02,36.0751,32.8369,50.02,88,100,11.34
208,Forbes,AU,2022-02-02 03:03:03,-33.3833,148.0167,77.76,34,100,10.13
209,Gelemso,ET,2022-02-02 03:03:03,8.8167,40.5167,57.18,62,100,5.23
210,Maldonado,UY,2022-02-02 03:03:03,-34.6667,-54.9167,64.22,68,0,6.87
211,Kiruna,SE,2022-02-02 03:03:04,67.8557,20.2251,5.92,92,100,2.3
212,Vila Franca Do Campo,PT,2022-02-02 03:03:04,37.7167,-25.4333,57.61,78,87,10.69
213,Port Macquarie,AU,2022-02-02 03:03:04,-31.4333,152.9167,77.9,100,100,6.91
214,Banjarmasin,ID,2022-02-02 03:02:39,-3.3244,114.591,84.34,59,100,0.45
215,Phan Thiet,VN,2022-02-02 03:03:05,10.9333,108.1,85.5,51,79,10.29
216,Fairbanks,US,2022-02-02 03:03:05,64.8378,-147.7164,-10.39,72,0,0.0
217,Touros,BR,2022-02-02 03:03:06,-5.1989,-35.4608,77.9,79,45,8.39
218,Omsukchan,RU,2022-02-02 03:03:06,62.5333,155.8,-5.06,95,97,4.83
219,Anadyr,RU,2022-02-02 03:03:06,64.75,177.4833,21.7,53,2,29.08
220,Kodinsk,RU,2022-02-02 03:03:07,58.6881,99.1844,-4.67,99,73,2.62
221,Tukrah,LY,2022-02-02 03:03:07,32.5341,20.5791,53.85,64,44,20.78
222,Tasiilaq,GL,2022-02-02 03:03:08,65.6145,-37.6368,12.36,70,100,4.61
223,Valparaiso,CL,2022-02-02 03:03:08,-33.0393,-71.6273,66.47,73,0,4.61
224,Lebu,CL,2022-02-02 03:03:08,-37.6167,-73.65,58.15,94,10,9.78
225,Santa Isabel,BR,2022-02-02 03:03:09,-23.3156,-46.2214,73.65,98,98,0.89
